Text,Category
"Ruud is the best striker in Europe. What I have to judge is whether he will struggle with the early pace after being out for so long, he said. ""His ability puts him in with a big shout but it is a major decision."" Ferguson, though, is confident his young players, particularly Wayne Rooney and Cristiano Ronaldo, are up to the task. ""We have an opportunity to win this cup this year, no question about that,"" he declared. ""With the maturity we see every week in Ronaldo and Rooney, the return of Van Nistelrooy and the form of Roy Keane, Paul Scholes and Ryan Giggs, we must have a fantastic chance."" It is a view shared by Rooney, who believes ""if we can get past Milan, we have a great chance"". ""As soon as I knew we were playing Milan, I got excited. Looking at the draw, it is anyone's trophy but we have every chance. ""Hopefully, we can get to that final in Turkey and bring the cup back to Manchester."" Milan coach Carlo Ancelotti said his team were looking forward to returning to the venue where they lifted Europe's most prestigious club title two seasons ago. Milan beat Juventus in a penalty shootout after a 0-0 tie at Old Trafford and Ancelotti said: ""We are all very happy to return (to Old Trafford) to play in the Champions League and this will give us great motivation."" Ancelotti said he was aware of the threat United posed to his hopes of Champions League glory. ""It's fundamental that we don't allow them to take control of the game. Our intention is not to adapt to their play but to play our game,"" he said. ""They have great quality in attack, they use the wings a lot and we will have to make sure we stop them.""",sport
"Joe Cole had a shot blocked and a promising Damien Duff break was halted by a good tackle from Djimi Traore, but the Reds reached half-time without any major scares. The Blues began the second half with more urgency and pegged Liverpool back. Nevertheless, Liverpool were living dangerously and they needed a fantastic double save from Dudek on 54 minutes, first at full stretch from Gudjohnsen's header, then to smother William Gallas' follow-up. And despite Chelsea's possession, it was Liverpool who fashioned the next clear opportunity as Luis Garcia fed Dietmar Hamann whose shot forced a superb save from Cech. And the Blues' increasingly adventurous approach saw Liverpool earn another chance on the break on 75 minutes as Paulo Ferreira denied Gerrard with a last-ditch tackle. But Gerrard was on the scoresheet minutes later - in the most unfortunate fashion - as he inadvertently deflected Ferrerira's free-kick past his own keeper and in off the post to bring Chelsea level. That prompted Mourinho's reaction which saw him sent off, but Chelsea still pressed and Duff had a chance to win the game with seven minutes remaining. Dudek saved bravely at the Irishman's feet, while Milan Baros shot wildly at the other end to ensure extra time. Drogba almost headed Chelsea in front two minutes into extra-time but the striker saw the ball rebound off the post. But seconds after the half-time interval, Drogba made no mistake, picking the ball up from Glen Johnson's long throw inside the six-yard box and sidefooting home. And Kezman appeared to have made the game safe as he netted from close range after Gudjohnsen's cross in the 110th minute. There was still drama as Nunez beat Cech to a high ball with six minutes remaining to head his side level, but despite Liverpool's desperate attacks, Chelsea clung on to win.",sport
"They have got strength in depth, great players, an outstanding manager in Jose Mourinho and finances no other club in the world can match. All they need to add now is the big prizes which, as we all know, is the most difficult part of all. One thing is certain - they have put themselves in a position to make that leap to success very impressively indeed. They beat a very tough Everton at Stamford Bridge, won at Newcastle in the Carling Cup, and then won 4-1 at Fulham, which was a great result given that they had been showing good form. As I said, winning the major honours is the hardest task of all, but in Mourinho they have a manager who will make it a whole lot easier to handle the anticipation and expectation that will come their way now. Mourinho has won the biggest club prize of all, the Champions League, and that track record and confidence transmits itself to top players. It is a priceless commodity. No-one can be anything other than highly-impressed by Mourinho. He is regarded as a touch arrogant by some people, and maybe he can appear that way, but he has the silverware to back up the talk. Mourinho doesn't simply talk a good game - he's won some very big games such as the Champions League final with Porto. Some may criticise his talk, but the words are backed up with actions. I've also found him to be very realistic whenever I've heard him. He's spent a lot of money and it seems to be working, and we should remember lots of managers have spent money and it has not worked. The buys are now integrating, and in Arjen Robben he has the player who is giving them that extra dimension.",sport
"Souness's former assistant at Rangers is hot favourite to take over from Vogts, who resigned on Monday. ""Walter is most definitely the ideal candidate for that job. He'd be perfect for it,"" Souness told BBC Sport. The Scottish Football Association has appointed Tommy Burns as provisional caretaker-boss for the friendly against Sweden on 17 November. ""He fits the bill because of his knowledge and understanding of the Scotland team and football. He is experienced and has been successful."" Souness added: ""Walter is a real football person, as I know from working with him at Ibrox. ""On top of all that he is a proper human being who would command the instant respect of the players and everyone involved in Scottish football."" Souness joined Sir Alex Ferguson in backing Smith's claims. The Scottish Football Association is about to embark on the search for Vogts successor after appointing Tommy Burns in a caretaker capacity. Ferguson said: ""He (Smith) would be the outstanding candidate as far as I'm concerned. ""You need somebody who knows what they're doing and Walter would bring a wealth of experience to the job."" The Man Utd boss continued: ""I don't know what credentials are needed to do the job but it's a job that needs a lot of experience. ""He was my assistant with Scotland and here at Manchester United and he has also managed Glasgow Rangers. ""He would need to change the whole shape of Scottish football and radical changes are needed."" Smith was assistant to Ferguson at the World Cup in Mexico in 1986. The former Everton and Rangers boss has been out of the game since a spell as Manchester United assistant last term. BBC Sport understands that Smith would be willing to discuss taking over if he was approached by the Scottish FA.",sport
"Back at pre-Olympic ranch in Greece, it must have seemed that things couldn't have got any worse but they very nearly did with walker Jamie Costin lucky to escape with his life after being involved in a car crash near Athens. Once the track and field action began in Athens, a familiar pattern of underachievement emerged although Alistair Cragg's performance in being the only athlete from a European nation to qualify for the 5,000m final did offer hope for the future. Our beloved Sonia scraped into the women's 5K final as a fastest loser and for a couple of days, the country attempted to delude itself into believing that she might be in the medal shake-up. As it happened, she went out the back door early in the final although there was nothing undignified about the way that she insisted on finishing the race over a minute behind winner Meseret Defar. It later transpired that Sonia had been suffering from a stomach bug in the 48 hours before the final although typically, the Cobhwoman played down the effects of the illness. Amazingly, she was back in action a couple of weeks later when beating a world-class field at the Flora Lite 5K road race in London and while her major championship days may be over, it's unlikely that we have seen the last of her in competition. At least Sonia managed to make it to Athens. At the start of the year, several Northern Ireland athletes had genuine hopes of qualifying for the Games but come August, an out-of-form and injured Paul Brizzel was the lone standard bearer for the province. The Ballymena man gave it a lash but his achilles problem, and a bad lane draw, meant a time of 21.00 and an early exit.",sport
"Well, at least there used to one. Now there is a handful to look back with a mixture of satisfaction, and sorrow. It has been quite a year for the Irish, and not just with Eddie O'Sullivan's Triple Crown winning international outfit either. Right down through the ranks Irish rugby is creating waves and upsetting the more established teams in the game. But most of the kudos will go to O'Sullivan and his merry band of warriors who not only collected their first Triple Crown for 29 years, but also finished their autumn campaign with a 100% record. For the second year in succession they also finished in the runners-up spot in the RBS Six Nations. But in the three games in November which included a victory over Tri-Nations champions and Grand Slam chasing South Africa, Ireland finsihed the year on a high. The 18-12 victory at Lansdowne Road was only their second victory over the Boks after the initial success back in 1965. That success was revenge for the consecutive defeats in Blomefontein and Cape Town in the summer. Those two reverses and the 35-17 flop against France, were the only dark patches in an otherwise excellent 12 months. But the big one, of course, was the 19-13 defeat of World Cup champions England on their precious Twickenham turf. The winning try was conceived in O'Sullivan's mind, perfectly executed by the team and finished immaculately by Girvan Dempsey. For me, the try of the Championship. O'Sullivan's career is now in vertical take-off mode. It is no wonder that Sir Clive Woodward has elevated the Galway-based coach to head the Lions Test side. Not only that, but a fair majority of the present Ireland side will be wearing red next June in New Zealand.",sport
"Maybe when I turn 60 and have been managing in the same league for 20 years and have the respect of everybody I will have the power to speak to people and make them tremble a little bit. The referee controlled the game in one way during the first half but in the second they had dozens of free-kicks. It was fault after fault, dive after dive. ""But I know the referee did not walk to the dressing rooms alone at half-time. He should only have had his two assistants and the fourth official with him, but there was also someone else."" Referees chief Keith Hackett believes Mourinho should retract his comments about Ferguson and Barry as he believes the Blues boss has questioned their integrity. ""I'm hoping he might reconsider his comments, unfortunately this is the nature of the game,"" said Hackett. ""I don't want referees or myself getting in the psychological warfare between two managers. For the second leg we have an experienced referee, and we should be talking about the quality of that game rather than the refereeing. ""Sometimes managers have grounds for comments, and I note that, but a referees integrity has been questioned, that is offensive and should be avoided. Mr Mourinho should look at the facts."" Mourinho added that the match was entertaining for a goalless draw and insisted his team could still reach the final. ""It's 0-0, so if we win we go through and if we get a draw we go to extra time,"" he said. ""We have exactly the same chance we had before this game. ""We are confident of getting a result but we know what Manchester United is, a footballing power. It'll be difficult for us, but also for them.""",sport
"Exeter City face a home tie against Middlesbrough if they can see off holders Manchester United in a replay. Oldham's reward for beating Manchester City is a home tie with Bolton, while Yeovil will be away to Charlton. Chelsea host Birmingham, Tottenham travel to West Brom and Arsenal will entertain Championship side Wolves. Saints boss Redknapp was upbeat about the draw despite having to face the club he walked out on just six weeks ago. ""I've said before, I can walk away from Portsmouth with my head held high, I'm proud of what I did there and no one can take that away from me,"" said Redknapp. ""Maybe I'll be in for some stick, there's always some of that but we'll get on with it and it's only a game of football."" Birmingham manager Steve Bruce admitted their trip to Stamford Bridge to face Premiership leaders Chelsea was the toughest draw possible. Bruce said: ""I'm still in shock. We've given good accounts of ourselves against Chelsea in the past and played well when we lost 1-0 at home at the start of the season - but that's the past. ""But it's the best competition in the world as far as I am concerned and we will give it our best shot."" Brentford boss Martin Allen remained cautious despite his side's favourable draw - a home tie with either Hartlepool or Boston. ""The best thing is, it's a home game. However, we know that whoever we play it is going to be a really tough game,"" said Allen. ""But it's not about the opposition, it's about us. We all want to get through to the next round and face a massive team, that's the way it is.""",sport
"United sensed a chance to finish the tie as a contest early on and Ronaldo blazed over before Jones saved well from Scholes and then Rooney. The visitors' pressure by now was incessant and Rooney had another shot blocked while Ronaldo slammed well over the bar again from a good position. Just before the break Giggs had a golden chance to double the advantage, but the Welshman dragged a left-foot effort badly wide from 10 yards. In stoppage time Exeter created their best chance as Alex Jeannin swung in a cross from the left that Devine managed to flick goalwards, but the ball flew wide of Howard's goal. The Grecians came out after the break in determined fashion and Howard had to show safe hands to collect two searching crosses into the United box. Rooney looked like he might have sealed the result with a turn and shot but the ball stuck in the St James Park mud and Jones raced back to gather on the goalline. Moments later Devine had the chance to make himself a hero, but he could only volley Jeannin's brilliant cross wide of Howard's goal after being left unmarked six yards out. After Rooney had completely messed up a free-kick 20 yards out Taylor showed him how it should be done, his stunning drive from distance forcing a flying stop from Howard. The home crowd were baying for a goal and they did get the ball into the net only for Devine's low effort to be ruled out for an obvious offside. The persistent Rooney eventually rounded Jones with three minutes to go and slotted into an empty net to book a home tie with Middlesbrough in the fourth round.",sport
"The agent also stressed that nothing should be read into the 30-year-old's father being in Scotland and talk of a move back to Botafogo in Brazil. Juninho's father was simply in the country to see his son and grandchildren. ""I know there is interest from a Brazilian club, but I know Juninho doesn't want to go there,"" said Hassel. ""He wants to stay in Britain. In fact, he wants to stay at Celtic."" Hassall made it clear that a move to Manchester City, who are badly in need of a midfield play-maker, was more of a possibility than Botafogo, or Mexican outfit Red Sharks Veracruz, who also expressed an interest. ""It was a thought at one stage,"" he said. ""If you are not going to get a game under one manager, you look for another whose style of play suits you. ""He is a fan of Kevin Keegan's style of play. It would not be a bad move for him."" Juninho had earlier told the Daily Record: ""The manager has had a lot of chances to put me in his team but it hasn't happened. ""If that is the case then this is the opportunity for me to go. That would be good for the club and good for me. ""If I have no part in his plans, there is no point in remaining here waiting for a chance that never comes."" The attacking midfielder also claims he has not had the backing of boss Martin O'Neill since his move to Celtic Park. ""I can't understand why I am in this situation,"" he continued. ""When a manager brings a new player to the club, he gives that player support.""",sport
"It's going to be a tough jon and the first task is to stabilise the cash flow and sort out the remaining creditors, Bates added. ""But there is light at the end of a very long tunnel. For the past year it has been a matter of firefighting - now we can start running the club again."" Outgoing Leeds chairman Gerald Krasner said: ""This deal ensures the medium to long term survival of the club and I believe Mr Bates' proposals are totally for the benefit of the club. ""We are content that under Mr Bates, Leeds United will continue to consolidate and move forward. ""When we took over Leeds United in March 2004, the club had a debt of Â£103m, since that date, my board has succeeded in reducing the debt to under Â£25m. ""We worked tirelessly to solve all of the problems at Leeds United. ""Eighty percent of the problems have already been overcome and we came to this agreement with Mr Bates to secure its ongoing success."" Krasner revealed that his consortium has been asked to remain in the background at the club for an undisclosed period to help ensure a smooth hand-over. He will stay on in an unpaid capacity while Peter Lorimer will continue in his role as director and point of contact for the fans and Peter McCormick will serve as a consultant to the incoming board. The other outgoing directors have agreed to leave their loans of Â£4.5m in the company for the next four years. On Leeds' new-look board it is understood that Lorimer will be joined by former Chelsea finance director Yvonne Todd and Bates' lawyer Mark Taylor.",sport
"Right now I feel that a little bit, he told BBC Sport. ""I've dominated all the top ten players. They say nice things about me because I have beaten them all. I am dominating the game right now and I hope it continues!"" The number one player in the world is also the main man for promoting the sport off court. He has just been voted, by the International Tennis Writers, as the best ""Ambassador for Tennis"" on the ATP Tour. He has time for everyone. Every match, from first round to final, is followed by a series of press interviews in three languages; English, French and Swiss-German. After a major win, there are extra requests, obligations and interviews, all seen through to the end with courtesy and, most importantly, good humour. ""You guys are funny, I have a good time with you guys,"" he said, genuinely happy to talk into yet another tape recorder. ""I see you pretty much every day on the tour so to give away an hour for interviews is really no problem for me. ""If I can promote tennis and the sport then that is good for me. People say thanks back and that is nice."" What a refreshing attitude from someone who could easily dominate the sports pages for a decade. It sums up his modest personality. Shortly after collecting a Waterford Crystal trophy, a Mercedes convertible and a tasty cheque for $1.5m, Federer addressed the Houston crowd and concluded by saying ""thanks for having me"". Now he just needs to find a way of winning the French Open, the one Grand Slam to so far elude him.",sport
